OBJECTID,Cluster,Edge,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
153,0,0,800.9227512,130.4784719,2.058474867595379,0.243,0.243,NS,NS,NS
154,0,0,839.418568,118.789151,5.877693434884299,0.303,0.303,NS,NS,NS
155,0,0,1120.633057,217.0405748,4.785156777726179,0.554,0.44599999999999995,NS,NS,NS
156,0,0,685.5780492,127.4553955,7.086670557355033,0.301,0.301,NS,NS,NS
157,0,0,901.1621958,220.5708143,3.752582436750515,0.371,0.371,NS,NS,NS
158,0,0,583.068484,216.9968483,6.101810222568545,0.405,0.405,NS,NS,NS
159,0,0,750.5365424,197.2131286,4.330692590166787,0.407,0.407,NS,NS,NS
160,0,0,629.7711467,204.0032748,4.7825667157581915,0.363,0.363,NS,NS,NS
161,0,0,1035.00207,216.0501508,2.0395945717534967,0.206,0.206,NS,NS,NS
162,0,0,878.3696592,209.0092302,1.0735491973063178,0.028,0.028,pos_cluster,NS,NS
163,0,0,889.8371295,233.3269015,1.1301024441820113,0.008,0.008,pos_cluster,pos_cluster,NS
164,0,0,1378.870854,183.7578682,2.197905317097376,0.022,0.022,pos_cluster,NS,NS
165,0,0,980.1430423,233.5587782,0.678602254090841,0.014,0.014,pos_cluster,NS,NS
166,0,0,880.7534008,197.4261035,0.9558620420565842,0.03,0.03,pos_cluster,NS,NS
167,0,0,1048.093972,220.1485309,2.8335529807758535,0.293,0.293,NS,NS,NS
168,0,0,760.2790242,145.4011202,6.0705554616121375,0.414,0.414,NS,NS,NS
169,0,0,1124.717503,127.4972072,3.9764294795102533,0.168,0.168,NS,NS,NS
170,0,0,899.3291516,195.0772629,2.483270658772854,0.257,0.257,NS,NS,NS
171,0,0,704.9521239,240.1087307,5.227934624525769,0.438,0.438,NS,NS,NS
172,0,0,817.3207591,140.8066467,4.290109819326844,0.347,0.347,NS,NS,NS
173,0,0,854.5367319,246.7902752,4.5861502904460565,0.337,0.337,NS,NS,NS
174,8,1,500.4969242,199.6876209,9.449148581996372,0.718,0.28200000000000003,NS,NS,NS
175,8,1,506.7170295,200.2362528,10.625397737901086,0.789,0.21099999999999997,NS,NS,NS
176,8,1,505.0204585,203.4168831,10.901534212825183,0.819,0.18100000000000005,NS,NS,NS
177,0,0,956.2834771,189.5186302,0.9034652946634182,0.033,0.033,pos_cluster,NS,NS
178,0,0,847.0501046,176.9662772,4.856665846841431,0.501,0.499,NS,NS,NS
179,0,0,1330.650521,160.4675395,3.8265464052257503,0.098,0.098,NS,NS,NS
180,5,1,1013.826975,199.5909386,0.8878754193657432,0.06,0.06,NS,NS,NS
181,5,1,985.5041921,198.1693465,0.21548350344513834,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
182,5,1,998.9305636,198.3766067,0.5850516206597974,0.041,0.041,pos_cluster,NS,NS
183,0,0,1057.569202,210.7595552,0.700865304522195,0.008,0.008,pos_cluster,pos_cluster,NS
184,0,0,1037.21235,239.8751167,1.8303307370476132,0.056,0.056,NS,NS,NS
185,0,0,752.2798277,210.9087507,4.098871535250007,0.325,0.325,NS,NS,NS
186,2,1,1520.679069,200.5378038,11.775240602267871,0.838,0.16200000000000003,NS,NS,NS
187,2,1,1483.928951,198.5312348,13.909447285879109,0.951,0.049000000000000044,neg_cluster,NS,NS
188,2,1,1494.841251,198.6080225,10.196483192481251,0.765,0.235,NS,NS,NS
189,0,0,937.4594648,311.4262716,5.490223021071656,0.228,0.228,NS,NS,NS
190,0,0,1353.267037,229.0782942,1.323122166030629,0.091,0.091,NS,NS,NS
191,0,0,1256.622735,226.5555063,3.183069139071292,0.635,0.365,NS,NS,NS
192,0,0,1035.488911,227.9348882,2.57734481319173,0.194,0.194,NS,NS,NS
193,8,1,503.9087339,198.8159787,11.010428241623748,0.828,0.17200000000000004,NS,NS,NS
194,8,0,496.370209,195.4400339,14.181905760360836,0.943,0.05700000000000005,NS,NS,NS
195,8,0,505.0511061,198.1199177,14.362251764613887,0.947,0.05300000000000005,NS,NS,NS
196,8,1,499.8127207,198.9520086,11.060605990899072,0.831,0.16900000000000004,NS,NS,NS
197,0,0,1212.559869,192.0235804,6.233567176937841,0.705,0.29500000000000004,NS,NS,NS
198,0,0,1446.39094,288.4432534,11.008728105281321,0.392,0.392,NS,NS,NS
199,5,1,995.4768807,199.2561997,2.9154591161175007,0.324,0.324,NS,NS,NS
200,5,0,1002.440851,195.6347424,0.027584278392069343,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
201,5,0,1003.013727,200.7053259,0.009864802632671721,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
202,5,1,991.6330134,197.9383355,0.31635002190212014,0.005,0.005,pos_cluster,pos_cluster,NS
203,0,0,578.5269627,213.4579229,3.5473502608792353,0.128,0.128,NS,NS,NS
204,0,0,830.7573059,273.4079711,5.956125079325364,0.356,0.356,NS,NS,NS
205,2,1,1503.52376,199.8791938,12.582038387521717,0.878,0.122,NS,NS,NS
206,2,0,1471.971723,201.1943613,15.714789611154462,0.978,0.02200000000000002,neg_cluster,NS,NS
207,2,0,1499.595084,199.2586871,16.551221784335155,0.988,0.01200000000000001,neg_cluster,NS,NS
208,2,1,1512.886263,199.0563419,11.715727455937934,0.841,0.15900000000000003,NS,NS,NS
209,0,0,854.3754279,260.3672387,3.4194239210943493,0.223,0.223,NS,NS,NS
210,0,0,1594.098443,203.6960841,5.024884217335099,0.297,0.297,NS,NS,NS
211,8,1,502.6628826,201.3453646,11.049717408640607,0.817,0.18300000000000005,NS,NS,NS
212,8,0,503.0720795,201.2743802,14.892523328799468,0.964,0.03600000000000003,neg_cluster,NS,NS
213,8,0,504.4095531,199.975857,14.593743476632342,0.952,0.04800000000000004,neg_cluster,NS,NS
214,8,0,509.7467778,200.6778344,14.66259189623226,0.954,0.04600000000000004,neg_cluster,NS,NS
215,8,1,502.2118204,202.0844832,8.749082119839064,0.632,0.368,NS,NS,NS
216,0,0,1301.131498,107.4593834,10.862364384059251,0.52,0.48,NS,NS,NS
217,5,1,997.0635064,201.3145527,4.01610224806093,0.54,0.45999999999999996,NS,NS,NS
218,5,0,996.6282318,202.9959866,0.0028000158152146066,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
219,5,0,994.9046345,201.5109808,0.003464265758363362,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
220,5,0,1004.398993,201.6942718,0.009019792829240238,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
221,5,1,1013.474356,199.4841581,0.22630368765834483,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
222,0,0,804.2284382,204.032422,3.3924364094955797,0.316,0.316,NS,NS,NS
223,2,1,1517.123138,202.6860246,11.292570859672534,0.822,0.17800000000000005,NS,NS,NS
224,2,0,1516.341923,198.2681568,17.207818977007673,0.982,0.018000000000000016,neg_cluster,NS,NS
225,2,0,1505.620865,200.7973411,16.474771776509595,0.972,0.028000000000000025,neg_cluster,NS,NS
226,2,0,1502.489689,201.3476516,16.307769261910785,0.976,0.02400000000000002,neg_cluster,NS,NS
227,2,1,1500.434512,201.5370539,13.9571764504273,0.93,0.06999999999999995,NS,NS,NS
228,0,0,1334.113458,158.9538949,5.804546785338685,0.842,0.15800000000000003,NS,NS,NS
229,0,0,884.91276,265.6456926,2.3638779804659045,0.401,0.401,NS,NS,NS
230,0,0,1018.745022,151.9174208,2.18085170889519,0.091,0.091,NS,NS,NS
231,8,1,502.5589508,201.7810302,11.40118229222826,0.853,0.14700000000000002,NS,NS,NS
232,8,0,505.0662427,199.3072514,14.692239808801105,0.963,0.03700000000000003,neg_cluster,NS,NS
233,8,0,494.264206,199.3359811,14.8858384992284,0.96,0.040000000000000036,neg_cluster,NS,NS
234,8,1,498.0436518,198.5923869,10.395833851881001,0.773,0.22699999999999998,NS,NS,NS
235,0,0,964.6372452,205.8671997,2.6564737505163034,0.252,0.252,NS,NS,NS
236,0,0,1093.429792,130.7055431,5.815111480002887,0.464,0.464,NS,NS,NS
237,5,1,1016.23442,200.0132141,0.4473705122340931,0.01,0.01,pos_cluster,pos_cluster,NS
238,5,0,1000.358511,202.9209197,0.003645833368262739,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
239,5,0,1001.918984,201.648286,0.005653990156375757,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
240,5,1,1006.979054,199.4373144,0.9206230635692096,0.071,0.071,NS,NS,NS
241,0,0,1049.735117,211.8091221,1.9436918488280925,0.159,0.159,NS,NS,NS
242,0,0,1189.656891,157.9319039,4.521043960346202,0.309,0.309,NS,NS,NS
243,2,1,1487.317727,197.9602682,12.922449882688905,0.901,0.09899999999999998,NS,NS,NS
244,2,0,1482.677244,198.0116239,16.672236168707553,0.984,0.016000000000000014,neg_cluster,NS,NS
245,2,0,1489.429495,200.2101562,16.186916107834758,0.98,0.020000000000000018,neg_cluster,NS,NS
246,2,1,1493.063524,204.3308683,14.063554795842581,0.957,0.04300000000000004,neg_cluster,NS,NS
247,0,0,1456.951214,179.8433038,11.16444519066239,0.907,0.09299999999999997,NS,NS,NS
248,0,0,964.1009609,97.3077399,6.346034676666273,0.522,0.478,NS,NS,NS
249,0,0,835.5498305,249.5795546,5.0361956207371845,0.338,0.338,NS,NS,NS
250,8,1,503.6899786,200.9208952,10.929703934484776,0.805,0.19499999999999995,NS,NS,NS
251,8,1,499.39626,198.2081113,11.855931262503836,0.865,0.135,NS,NS,NS
252,8,1,494.5992927,200.0863059,8.231798583710548,0.605,0.395,NS,NS,NS
253,0,0,1167.799405,143.4344462,2.1092822132873845,0.011,0.011,pos_cluster,NS,NS
254,0,0,866.3532762,242.3234529,1.227334993092275,0.006,0.006,pos_cluster,pos_cluster,NS
255,0,0,1134.580707,203.7874925,1.1523981998364377,0.051,0.051,NS,NS,NS
256,5,1,994.651658,202.6935155,0.04656999907293996,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
257,5,1,1024.208516,201.6819319,0.3154500755328198,0.006,0.006,pos_cluster,pos_cluster,NS
258,5,1,1001.565436,199.9026364,1.7163436047281744,0.225,0.225,NS,NS,NS
259,0,0,745.9219077,273.0324537,4.963857931844783,0.132,0.132,NS,NS,NS
260,0,0,786.3335935,183.7107372,2.7351313517486684,0.153,0.153,NS,NS,NS
261,0,0,998.581449,161.6287509,2.320651629809319,0.13,0.13,NS,NS,NS
262,2,1,1508.61664,199.5834295,11.631391111502463,0.85,0.15000000000000002,NS,NS,NS
263,2,1,1534.871299,199.0997156,14.7383809057399,0.945,0.05500000000000005,NS,NS,NS
264,2,1,1492.182927,199.2581706,11.353393253594959,0.836,0.16400000000000003,NS,NS,NS
265,0,0,1112.7221,135.3690126,5.0772890649238445,0.342,0.342,NS,NS,NS
266,0,0,921.4513064,188.346047,1.4335018481289112,0.455,0.455,NS,NS,NS
267,0,0,848.2135657,218.5109531,1.2532587679148541,0.311,0.311,NS,NS,NS
268,0,0,1240.661337,242.9587141,3.3218156828804295,0.08,0.08,NS,NS,NS
269,0,0,930.1607076,249.2699868,1.9488725789856547,0.045,0.045,pos_cluster,NS,NS
270,0,0,1393.209188,189.3878157,4.763078429258146,0.292,0.292,NS,NS,NS
271,0,0,865.7275316,131.436024,1.9241472849118462,0.014,0.014,pos_cluster,NS,NS
272,0,0,1016.977963,197.6614053,2.7270997908979955,0.282,0.282,NS,NS,NS
273,0,0,1139.280242,244.2181923,3.234175069335942,0.142,0.142,NS,NS,NS
274,0,0,786.5084355,185.4300127,4.569960275871258,0.436,0.436,NS,NS,NS
275,0,0,977.669766,193.8795588,1.6851550890228757,0.203,0.203,NS,NS,NS
276,0,0,992.693302,246.4621328,0.30435157972238736,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
277,0,0,1271.759136,186.6794156,2.4875189313692387,0.102,0.102,NS,NS,NS
278,0,0,839.6082968,130.9743604,4.83300932116473,0.249,0.249,NS,NS,NS
279,0,0,1211.573088,238.0937099,6.821852785616425,0.648,0.352,NS,NS,NS
280,0,0,880.993725,216.8157152,1.6324208566247012,0.065,0.065,NS,NS,NS
281,0,0,1214.05847,248.7751255,6.153810438990189,0.504,0.496,NS,NS,NS
282,0,0,727.644098,139.1696141,9.491384131036638,0.687,0.31299999999999994,NS,NS,NS
283,0,0,904.6971557,160.7193796,3.1979707278434137,0.24,0.24,NS,NS,NS
284,0,0,808.2757117,147.4123312,3.1958725024793035,0.077,0.077,NS,NS,NS
285,0,0,663.1525095,238.12984,1.4637909176143113,0.005,0.005,pos_cluster,pos_cluster,NS
286,0,0,991.9991663,211.7026073,1.257740115395971,0.184,0.184,NS,NS,NS
287,0,0,1291.569547,182.7986867,1.347661300445528,0.007,0.007,pos_cluster,pos_cluster,NS
288,0,0,960.5550375,179.2667225,2.1579244931537462,0.188,0.188,NS,NS,NS
289,0,0,647.5802149,255.5648066,4.190575896283465,0.075,0.075,NS,NS,NS
290,0,0,836.5735386,230.2015616,4.061082764518836,0.313,0.313,NS,NS,NS
291,0,0,1354.337991,254.7783472,8.229840034885417,0.49,0.49,NS,NS,NS
292,0,0,502.7448786,196.3055698,7.908883349413384,0.557,0.44299999999999995,NS,NS,NS
293,0,0,1269.422602,262.9564558,7.5162157936828144,0.473,0.473,NS,NS,NS
